SUBJECT,RELATION,OBJECT
1028,similarTo,1011
834,similarTo,940
199,similarTo,851
834,similarTo,62
805,similarTo,435
865,similarTo,815
957,similarTo,1035
863,similarTo,703
174,similarTo,855
875,similarTo,628
883,similarTo,255
880,similarTo,566
850,similarTo,97
86,similarTo,861
808,similarTo,413
861,similarTo,751
818,similarTo,713
854,similarTo,290
960,similarTo,1026
554,similarTo,849
819,similarTo,367
819,similarTo,720
868,similarTo,764
854,similarTo,161
409,similarTo,819
801,similarTo,14
444,similarTo,832
981,similarTo,972
618,similarTo,817
848,similarTo,360
850,similarTo,314
485,similarTo,873
820,similarTo,426
864,similarTo,246
453,similarTo,832
785,similarTo,802
835,similarTo,467
402,similarTo,819
900,similarTo,863
839,similarTo,355
861,similarTo,284
960,similarTo,815
270,similarTo,803
885,similarTo,395
536,similarTo,847
804,similarTo,613
974,similarTo,976
395,similarTo,885
834,similarTo,835
844,similarTo,576
503,similarTo,813
482,similarTo,878
814,similarTo,497
937,similarTo,885
832,similarTo,453
800,similarTo,378
962,similarTo,1018
815,similarTo,871
881,similarTo,874
814,similarTo,912
846,similarTo,144
888,similarTo,880
873,similarTo,541
844,similarTo,236
850,similarTo,168
424,similarTo,806
873,similarTo,777
684,similarTo,848
649,similarTo,878
803,similarTo,212
671,similarTo,846
857,similarTo,834
843,similarTo,75
866,similarTo,441
339,similarTo,861
825,similarTo,356
254,similarTo,801
873,similarTo,556
635,similarTo,802
814,similarTo,607
845,similarTo,744
810,similarTo,762
818,similarTo,411
823,similarTo,886
744,similarTo,845
830,similarTo,957
1028,similarTo,1021
860,similarTo,4
1028,similarTo,1006
884,similarTo,300
811,similarTo,558
832,similarTo,401
808,similarTo,699
283,similarTo,862
876,similarTo,263
848,similarTo,474
1012,similarTo,980
863,similarTo,953
826,similarTo,31
844,similarTo,837
967,similarTo,1025
1026,similarTo,960
149,similarTo,851
66,similarTo,799
799,similarTo,647
345,similarTo,805
806,similarTo,951
844,similarTo,398
806,similarTo,931
802,similarTo,176
813,similarTo,936
317,similarTo,819
845,similarTo,904
371,similarTo,843
880,similarTo,169
336,similarTo,856
981,similarTo,1029
1036,similarTo,960
406,similarTo,855
838,similarTo,835
328,similarTo,864
582,similarTo,822
844,similarTo,834
839,similarTo,129
845,similarTo,473
708,similarTo,819
845,similarTo,941
979,similarTo,1012
472,similarTo,823
877,similarTo,179
902,similarTo,866
528,similarTo,851
835,similarTo,492
860,similarTo,599
867,similarTo,942
430,similarTo,834
873,similarTo,451
428,similarTo,813
872,similarTo,835
823,similarTo,874
803,similarTo,294
810,similarTo,447
326,similarTo,848
844,similarTo,926
851,similarTo,296
813,similarTo,868
820,similarTo,677
863,similarTo,511
61,similarTo,799
843,similarTo,640
856,similarTo,524
688,similarTo,859
136,similarTo,851
44,similarTo,860
865,similarTo,268
815,similarTo,576
957,similarTo,1022
691,similarTo,805
825,similarTo,384
993,similarTo,960
868,similarTo,813
808,similarTo,674
867,similarTo,820
680,similarTo,830
479,similarTo,821
401,similarTo,832
985,similarTo,989
892,similarTo,798
838,similarTo,609
810,similarTo,228
875,similarTo,386
850,similarTo,59
632,similarTo,807
861,similarTo,739
267,similarTo,843
696,similarTo,889
173,similarTo,884
852,similarTo,562
961,similarTo,978
852,similarTo,315
1007,similarTo,962
879,similarTo,370
972,similarTo,981
855,similarTo,110
816,similarTo,265
843,similarTo,563
701,similarTo,882
808,similarTo,575
846,similarTo,551
802,similarTo,457
603,similarTo,799
873,similarTo,231
816,similarTo,332
616,similarTo,851
819,similarTo,402
981,similarTo,1002
73,similarTo,869
977,similarTo,993
870,similarTo,546
85,similarTo,819
439,similarTo,814
882,similarTo,186
849,similarTo,342
532,similarTo,824
815,similarTo,829
819,similarTo,650
799,similarTo,670
800,similarTo,396
880,similarTo,355
864,similarTo,704
625,similarTo,802
53,similarTo,823
933,similarTo,806
848,similarTo,341
847,similarTo,705
837,similarTo,576
821,similarTo,479
808,similarTo,397
872,similarTo,229
808,similarTo,135
329,similarTo,821
558,similarTo,811
1028,similarTo,986
747,similarTo,876
878,similarTo,225
865,similarTo,548
820,similarTo,830
811,similarTo,762
839,similarTo,629
854,similarTo,200
811,similarTo,316
801,similarTo,759
913,similarTo,853
570,similarTo,876
960,similarTo,1019
848,similarTo,326
810,similarTo,240
727,similarTo,855
813,similarTo,182
908,similarTo,853
878,similarTo,482
868,similarTo,289
227,similarTo,873
884,similarTo,311
885,similarTo,935
822,similarTo,553
144,similarTo,846
736,similarTo,857
65,similarTo,860
851,similarTo,682
857,similarTo,207
838,similarTo,815
731,similarTo,825
822,similarTo,582
531,similarTo,856
803,similarTo,530
831,similarTo,942
753,similarTo,873
853,similarTo,913
259,similarTo,818
125,similarTo,854
858,similarTo,147
1008,similarTo,985
47,similarTo,878
845,similarTo,875
749,similarTo,869
799,similarTo,219
981,similarTo,1013
807,similarTo,710
921,similarTo,823
705,similarTo,847
804,similarTo,826
1027,similarTo,976
851,similarTo,733
222,similarTo,839
481,similarTo,846
826,similarTo,957
817,similarTo,661
834,similarTo,648
810,similarTo,939
58,similarTo,798
877,similarTo,510
101,similarTo,854
805,similarTo,304
799,similarTo,617
702,similarTo,798
436,similarTo,878
852,similarTo,370
830,similarTo,815
841,similarTo,563
560,similarTo,839
805,similarTo,309
856,similarTo,158
804,similarTo,350
818,similarTo,789
811,similarTo,12
825,similarTo,894
308,similarTo,832
826,similarTo,494
721,similarTo,818
821,similarTo,329
857,similarTo,956
836,similarTo,829
811,similarTo,338
720,similarTo,819
445,similarTo,830
846,similarTo,671
801,similarTo,543
830,similarTo,27
811,similarTo,240
870,similarTo,674
832,similarTo,895
855,similarTo,100
884,similarTo,770
474,similarTo,848
847,similarTo,363
821,similarTo,468
220,similarTo,850
804,similarTo,388
962,similarTo,1009
870,similarTo,433
819,similarTo,166
886,similarTo,931
693,similarTo,839
39,similarTo,885
779,similarTo,805
818,similarTo,774
815,similarTo,483
861,similarTo,200
263,similarTo,876
896,similarTo,852
40,similarTo,862
869,similarTo,869
7,similarTo,816
852,similarTo,91
739,similarTo,861
139,similarTo,889
868,similarTo,33
861,similarTo,904
803,similarTo,211
833,similarTo,750
798,similarTo,719
835,similarTo,242
834,similarTo,815
846,similarTo,372
368,similarTo,860
821,similarTo,730
201,similarTo,799
798,similarTo,478
846,similarTo,656
611,similarTo,847
865,similarTo,829
84,similarTo,822
845,similarTo,25
526,similarTo,819
798,similarTo,812
876,similarTo,2
827,similarTo,929
803,similarTo,931
808,similarTo,24
313,similarTo,854
861,similarTo,672
880,similarTo,932
45,similarTo,849
872,similarTo,920
878,similarTo,195
818,similarTo,381
1032,similarTo,997
816,similarTo,347
651,similarTo,870
854,similarTo,362
316,similarTo,811
808,similarTo,246
623,similarTo,804
861,similarTo,22
845,similarTo,737
821,similarTo,278
517,similarTo,824
804,similarTo,16
823,similarTo,921
715,similarTo,848
850,similarTo,200
818,similarTo,286
834,similarTo,576
806,similarTo,514
814,similarTo,537
844,similarTo,288
897,similarTo,825
559,similarTo,819
483,similarTo,815
768,similarTo,846
1018,similarTo,962
556,similarTo,873
364,similarTo,854
810,similarTo,68
824,similarTo,868
820,similarTo,196
845,similarTo,213
496,similarTo,839
828,similarTo,904
858,similarTo,377
423,similarTo,806
232,similarTo,885
868,similarTo,585
883,similarTo,527
800,similarTo,50
820,similarTo,5
282,similarTo,889
861,similarTo,681
819,similarTo,85
873,similarTo,595
959,similarTo,1028
971,similarTo,976
872,similarTo,904
857,similarTo,687
820,similarTo,337
997,similarTo,1005
968,similarTo,1025
819,similarTo,114
957,similarTo,1001
885,similarTo,937
868,similarTo,490
375,similarTo,825
869,similarTo,57
865,similarTo,871
866,similarTo,917
639,similarTo,825
922,similarTo,851
835,similarTo,576
686,similarTo,861
835,similarTo,196
860,similarTo,381
832,similarTo,592
195,similarTo,878
1025,similarTo,1017
805,similarTo,584
811,similarTo,939
587,similarTo,834
638,similarTo,862
664,similarTo,845
459,similarTo,876
836,similarTo,844
346,similarTo,833
861,similarTo,393
844,similarTo,829
874,similarTo,403
735,similarTo,855
804,similarTo,658
811,similarTo,228
851,similarTo,528
856,similarTo,829
760,similarTo,845
825,similarTo,931
872,similarTo,455
437,similarTo,856
828,similarTo,905
856,similarTo,906
805,similarTo,6
976,similarTo,974
851,similarTo,417
861,similarTo,81
1017,similarTo,1025
796,similarTo,810
305,similarTo,848
835,similarTo,601
138,similarTo,850
211,similarTo,803
870,similarTo,19
56,similarTo,820
1012,similarTo,964
91,similarTo,852
156,similarTo,884
825,similarTo,322
819,similarTo,200
810,similarTo,387
885,similarTo,765
858,similarTo,185
551,similarTo,846
875,similarTo,875
832,similarTo,214
819,similarTo,307
824,similarTo,517
868,similarTo,936
134,similarTo,802
324,similarTo,826
808,similarTo,792
866,similarTo,596
963,similarTo,978
818,similarTo,0
981,similarTo,1030
351,similarTo,814
90,similarTo,798
815,similarTo,820
884,similarTo,156
854,similarTo,359
819,similarTo,678
730,similarTo,821
592,similarTo,832
252,similarTo,857
799,similarTo,88
829,similarTo,940
868,similarTo,653
854,similarTo,155
846,similarTo,742
947,similarTo,859
834,similarTo,829
826,similarTo,576
458,similarTo,846
816,similarTo,163
808,similarTo,775
620,similarTo,826
1006,similarTo,1028
799,similarTo,66
