tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,LAW,INFRINGEMENT,PERSON,NATION/RELIGIOUS/POL_GROUP,GEOGRAPHICAL_LOC,LANGUAGE,LOCATION_STRUCTURE,LOCATION,CONTACTNAME,ORGANIZATION,ORGANIZATION2,GEOGRAPHY2,DATETIME,PERCENT,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
96002,0,8,21,0,0,0,4,38,10,259,0,364,1,254,2,2,131,234,205,172,0,331,3,0,0,0,0,0
128161,0,3,1,0,0,0,4,25,8,30,0,112,21,105,0,41,19,10,174,14,107,283,98,0,0,0,0,0
1341895,40,0,13,0,0,0,0,16,10,8,0,312,1,54,0,486,40,10,48,50,0,105,3,0,0,0,0,0
165621647,42,5,13,0,0,0,0,39,10,221,0,698,53,105,7,312,116,398,167,136,41,180,11,0,0,0,0,0
980877,0,3,15,0,8,7,4,38,7,139,0,454,127,105,12,2,116,220,228,87,65,131,30,0,0,0,0,0
1725672,0,8,1,0,0,5,0,0,1,541,0,684,87,161,0,2,158,10,174,144,97,109,3,0,0,0,0,0
1130742,0,6,11,0,0,0,4,4,2,428,0,166,133,179,0,116,225,32,48,50,235,45,3,0,0,0,0,0
111777378,35,8,21,2,0,0,0,38,10,9,0,605,1,159,0,338,171,426,14,50,103,169,3,0,0,0,0,0
279427,7,3,21,0,0,0,4,4,9,346,0,304,1,211,0,2,259,34,205,50,0,169,3,0,0,0,0,0
1754074,0,7,10,0,0,3,4,4,4,8,1,26,86,105,8,343,157,10,205,6,0,105,3,1,0,0,0,0
784749,0,0,21,0,0,0,0,38,2,477,0,694,1,107,0,2,0,146,93,154,0,109,3,0,0,0,0,0
732612,28,0,1,0,0,0,0,0,1,104,0,100,13,260,0,294,261,10,174,144,297,327,26,0,0,0,0,0
1414629,0,6,1,0,0,4,0,4,10,455,0,563,1,176,0,2,45,342,228,191,0,137,3,1,0,0,0,0
857323,0,5,1,0,0,13,4,4,7,8,1,150,53,105,2,249,116,10,39,183,97,222,11,1,0,0,0,0
47808634,0,8,1,0,0,13,4,16,4,37,0,696,1,279,0,153,275,397,220,50,66,25,52,0,0,0,0,0
1867924,0,0,20,0,0,0,0,4,10,211,0,346,1,141,0,2,156,345,75,71,0,140,53,0,0,0,0,0
1333219,0,7,21,0,1,0,0,4,10,460,0,473,53,105,2,2,286,290,205,50,0,235,3,0,0,0,0,1
1186368,0,2,15,0,0,0,6,54,7,470,0,229,98,105,2,91,116,167,75,71,115,36,17,0,0,0,0,0
102886851,0,7,14,0,0,0,4,16,10,213,0,130,53,257,0,2,243,73,33,191,0,151,11,0,0,0,0,0
1610804,0,3,21,0,0,0,4,4,4,495,0,464,1,258,0,2,145,10,48,4,0,111,3,0,0,0,0,0
736105,0,1,1,1,0,0,4,4,2,8,0,222,2,46,0,2,4,142,228,191,3,242,3,0,0,0,0,0
1566,0,8,10,2,0,0,4,39,8,188,1,413,93,211,0,190,201,35,75,137,293,296,3,0,0,0,0,0
605322,0,0,6,0,0,0,0,16,7,162,0,487,1,249,0,2,252,10,57,56,67,103,3,0,0,0,0,0
